site,date,Cluster,Genotype,wp_pd
PIK,2023-07-25,F,1181,0.155
PIK,2023-08-19,F,889,0.191
PIK,2023-09-07,F,889,0.375
PIK,2023-10-13,F,889,0.395
PIK,2023-05-06,L,1199,0.598
PIK,2023-06-21,C,1199,0.545
PIK,2023-07-25,C,1420,0.105
PIK,2023-08-19,C,1199,0.35
PIK,2023-09-07,C,1199,0.514
PIK,2023-10-13,C,1199,0.336
PIK,2023-05-06,L,1420,0.219
PIK,2023-06-21,L,1420,0.288
PIK,2023-07-25,L,1420,0.098
PIK,2023-08-19,L,1420,0.307
PIK,2023-09-07,L,1420,0.435
PIK,2023-10-13,L,1420,0.319
PIK,2023-05-06,L,1589,0.473
PIK,2023-06-21,L,1589,0.408
PIK,2023-07-25,L,1589,0.215
PIK,2023-08-19,L,1589,0.172
PIK,2023-09-07,L,1589,0.507
PIK,2023-10-13,L,1589,0.436
PIK,2023-05-06,M,2006,0.58
PIK,2023-06-21,C,2006,0.388
PIK,2023-07-25,C,1508,0.138
PIK,2023-08-19,C,2006,0.529
PIK,2023-09-07,C,2006,0.439
PIK,2023-10-13,C,2006,0.431
PIK,2023-05-06,M,159,0.235
PIK,2023-06-21,C,159,0.497
PIK,2023-07-25,C,1755,0.181
PIK,2023-08-19,C,159,0.473
PIK,2023-09-07,C,159,0.502
PIK,2023-10-13,C,159,0.409
PIK,2023-05-06,M,953,0.39
PIK,2023-06-21,I,953,0.318
PIK,2023-07-25,I,599,0.169
PIK,2023-08-19,I,953,0.289
PIK,2023-09-07,I,953,0.312
PIK,2023-10-13,I,953,0.441
PIK,2023-05-06,M,377,0.287
PIK,2023-06-21,C,377,0.332
PIK,2023-07-25,C,889,0.16
PIK,2023-08-19,C,377,0.703
PIK,2023-09-07,C,377,0.372
PIK,2023-10-13,C,377,0.258
PIK,2023-05-06,M,788,0.338
PIK,2023-06-21,F,788,0.258
PIK,2023-07-25,F,1181,0.116
PIK,2023-08-19,F,788,0.308
PIK,2023-09-07,F,788,0.368
PIK,2023-10-13,F,788,0.258
PIK,2023-05-06,N,2080,0.353
PIK,2023-06-21,F,2080,0.302
PIK,2023-07-25,F,1181,0.115
PIK,2023-08-19,F,2080,0.39
PIK,2023-09-07,F,2080,0.336
PIK,2023-10-13,F,2080,0.32
PIK,2023-05-06,N,318,0.33
PIK,2023-06-21,C,318,0.36
PIK,2023-07-25,C,1589,0.188
PIK,2023-08-19,C,318,0.522
PIK,2023-09-07,C,318,0.572
PIK,2023-10-13,C,318,0.36
PIK,2023-05-06,N,2153,0.179
PIK,2023-06-21,F,2153,0.359
PIK,2023-07-25,F,295,0.0945
PIK,2023-08-19,F,2153,0.369
PIK,2023-09-07,F,2153,0.329
PIK,2023-10-13,F,2153,0.377
PIK,2023-05-06,N,886,0.33
PIK,2023-06-21,C,886,0.418
PIK,2023-07-25,C,2006,0.106
PIK,2023-08-19,C,886,0.33
PIK,2023-09-07,C,886,0.47
PIK,2023-10-13,C,886,0.365
PIK,2023-05-06,N,2106,0.398
PIK,2023-06-21,J,2106,0.446
PIK,2023-07-25,J,1508,0.108
PIK,2023-08-19,J,2106,0.237
PIK,2023-09-07,J,2106,0.369
PIK,2023-10-13,J,2106,0.39
